post_id,text_tf-idf_pca_1,text_tf-idf_pca_2,text_tf-idf_pca_3,text_tf-idf_pca_4,text_tf-idf_pca_5,topic_covid,topic_entertainment,topic_movie,topic_politics,topic_sport,topic_tech
1,-0.1181090123639322,-0.20208871176347126,-0.09204131767563889,-0.11128087503845827,-0.09018860712640848,0,0,0,0,0,0
2,-0.14266204024283508,-0.22465209303457329,-0.0007700213777131508,-0.07189649603301068,0.021130377355169695,0,0,0,0,0,0
3,-0.10427990997094734,-0.15265681940303064,-0.08895046840277604,-0.10196476197164939,-0.06559282841999776,0,0,0,0,0,0
4,-0.0015308543718596745,-0.12743152905505614,-0.0546273182946303,-0.08105884837694526,-0.05962122219415943,0,0,0,0,0,0
5,0.05588796743541094,-0.1048835430102542,-0.004099116144029683,-0.015337815265196756,-0.05318892739202925,0,0,0,0,0,0
6,0.07309443597030105,-0.10156414489593235,0.021253706629994706,0.008530755203428598,-0.04531550279658075,0,0,0,0,0,0
14,0.031442952207274756,-0.09465948719514994,-0.059460228274056046,-0.002411763932488277,-0.04256989303312239,0,0,0,0,0,0
2366,0.22992816703503746,-0.004630324633096617,-0.005957597581783393,-0.0022610544889889537,-0.01969251523328041,1,0,0,0,0,0
7,-0.03995828885731098,-0.13461710105228747,0.024632331342074782,-0.08215035457288611,-0.07745975421770947,0,0,0,0,0,0
8,-0.02967666679073844,-0.12614655684527776,-0.05450017291481344,-0.08258226825351468,-0.028351093776292285,0,0,0,0,0,0
9,0.011521446666583206,-0.13443590646471895,0.12793512115127292,0.043661613780182996,0.06454711103194413,0,0,0,0,0,0
10,-0.024172421641882248,-0.15109568833713044,0.09070500422771405,0.07988194623080064,0.0787304226293803,0,0,0,0,0,0
11,-0.0200597579786918,-0.14000782552436403,0.006458374980375951,-0.046045516360873985,-0.09188810115273706,0,0,0,0,0,0
15,-0.022937913174810507,-0.10624967323293338,0.010333249906360698,-0.06520889769573227,-0.06935364223855654,0,0,0,0,0,0
16,0.03432047721882975,-0.11268212566124548,-0.041217009655455994,-0.05031776544877656,-0.0644287176843642,0,0,0,0,0,0
17,0.06765767224006682,-0.09641986668786824,-0.004106490240973451,-0.04482955838132721,-0.12672777527569365,0,0,0,0,0,0
18,-0.02783243737252953,-0.10172673605897534,0.01405989233211312,-0.0002314119500866345,-0.026321456396051535,0,0,0,0,0,0
19,-0.12305696950924956,-0.1940603937410697,-0.058160829158749906,-0.1294109787311645,-0.06739005464540263,0,0,0,0,0,0
2367,0.28742933027139433,-0.0009470158923111563,0.021682625467448976,-0.021281962668049,0.0341572859496219,1,0,0,0,0,0
2368,0.2614017144654875,-0.01762039229111375,-0.01734312490495765,-0.018397601719584985,0.04186121526280356,1,0,0,0,0,0
2369,0.29212700453252105,0.010881738431984884,-0.011287482749209645,-0.003067767552227289,0.005456341413224644,1,0,0,0,0,0
2370,0.21799636071484624,-0.0029895452841845506,-0.042172195766780725,-0.011429615519849117,0.03658963055285882,1,0,0,0,0,0
20,-0.08767832337686285,-0.1613963154145084,0.018812734331421284,-0.054192133847818354,0.00986604872872213,0,0,0,0,0,0
21,0.01725338420781439,-0.11747336967749829,-0.017790696035276898,0.003689619199349832,0.008822919448543355,0,0,0,0,0,0
22,-0.10596012236741735,-0.1655532089051388,-0.007038185575746327,-0.09655582077865273,-0.03415203115850732,0,0,0,0,0,0
23,-0.08796803871271376,-0.16150170228658944,0.008462502441085805,-0.03560392508847779,-0.10427738776198187,0,0,0,0,0,0
24,-0.016677146765446363,-0.0974099386274059,0.017728727582175908,-0.061334441693764986,-0.052340422623984244,0,0,0,0,0,0
25,-0.15783772982953045,-0.20899302880319223,-0.09880960191371137,-0.1213104995868908,-0.10255858966062048,0,0,0,0,0,0
2371,0.18795652787429964,-0.0011706855808784947,0.07798294166131875,-0.010550645296119605,0.015780799793961412,1,0,0,0,0,0
2372,0.18744047308805903,-0.020652618136534035,0.023122614970954115,-0.030875971225205263,0.04887456996544712,1,0,0,0,0,0
2373,0.2876711567210182,0.035746907739371926,0.01461460931497528,-0.009514876603223303,0.0344843552720558,1,0,0,0,0,0
26,-0.006548712407368376,-0.14455527359629586,-0.02044276665520305,-0.04294976597764779,-0.10777672214404045,0,0,0,0,0,0
27,-0.07755533995505169,-0.10596881152712405,-0.03428378544440608,-0.07908198743821636,-0.06429587928749282,0,0,0,0,0,0
28,0.011128477777366122,-0.12373607469432334,0.06564735980896548,-0.05988486963206623,-0.01891849018963906,0,0,0,0,0,0
29,-0.12687587247256848,-0.21146563239648702,-0.12063669249789749,-0.12527609772656437,-0.10256666982652754,0,0,0,0,0,0
30,-0.14219977848232598,-0.15439307008871112,0.0028844363431531333,-0.12737979448376488,0.008268265913396465,0,0,0,0,0,0
31,0.02070675382768964,-0.13284754275980495,-0.08679017252979758,-0.06147450546961082,-0.1275608285353332,0,0,0,0,0,0
32,-0.03635174435110663,-0.13844827908240237,-0.01716320647543524,-0.07429332369412235,-0.03079311510260471,0,0,0,0,0,0
583,-0.0017797067506134343,-0.07121778378789462,-0.08730655645179786,0.15410320402844227,-0.0422004221666671,0,1,0,0,0,0
33,0.01362134142671747,-0.13642353200845095,-0.074652053500866,-0.048889224167532844,-0.1182409250836451,0,0,0,0,0,0
34,-0.12288678192796242,-0.17555171982078807,-0.06390819572268129,-0.10701280841377431,-0.0025803967789123448,0,0,0,0,0,0
35,-0.169862027126835,-0.12203287967685497,-0.06506203053068316,-0.14490769882943308,-0.01626912781279947,0,0,0,0,0,0
36,-0.22168427230891968,-0.23750981043687416,-0.12671306241058172,-0.12742835843568426,-0.051897505891686097,0,0,0,0,0,0
37,-0.16410757022738992,-0.2162344177677213,0.004137816644981598,-0.10040184996462269,0.03101627438340896,0,0,0,0,0,0
38,0.04129557846706734,-0.07143755257333609,-0.02333685940705204,-0.04878064459584612,-0.08520629218794902,0,0,0,0,0,0
44,0.03221641490014753,-0.14111134363936317,-0.07150045370022262,-0.06516616566646341,-0.1501691500509317,0,0,0,0,0,0
2374,0.2503220672012008,0.02405839515424503,0.019415649888458078,-0.007276275608788056,0.008724537507384665,1,0,0,0,0,0
39,-0.049837484930885044,-0.1405533668069442,-0.00031045639428787993,-0.0672625573349882,-0.06740021587332107,0,0,0,0,0,0
40,0.05964637357397469,-0.13434512965797016,-0.030305742615685062,-0.056601183754301516,-0.17918790829426828,0,0,0,0,0,0
41,-0.09791021692572892,-0.2031190627673336,-0.004639594120940294,-0.0884450997287732,-0.09677471011880612,0,0,0,0,0,0
42,0.03959930400199317,-0.11677408959119319,-0.05929440837290226,-0.0596393793060025,-0.14849508229013378,0,0,0,0,0,0
43,-0.03462912095222764,-0.13532430445569996,-0.05012746416382467,-0.08403711739200545,-0.057445116138621674,0,0,0,0,0,0
2375,0.24314336841230277,0.0013330039385218227,-0.007319117992277835,-0.02825684585619774,0.05555684345499316,1,0,0,0,0,0
2376,0.23710283487078343,0.010248947625200204,-0.0014335636151653372,-0.017039623387587636,-0.00897345402682303,1,0,0,0,0,0
